"timestamp","source","message"
"2026-08-05T19:28:00.503Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.502Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":260,""status"":200,""method"":""GET"",""url"":""https://integration-middleware.us.restaurant-partners.com/v2/chains/LATAMSMARTFRAN0001/remoteVendors/AR-GRIDO-HELADOS-3311-LIBERTAD-0001/availability""}}"
"2026-08-05T19:28:00.517Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.517Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":275,""status"":200,""method"":""GET"",""url"":""https://integration-middleware.us.restaurant-partners.com/v2/chains/LATAMSMARTFRAN0001/remoteVendors/PE-GRIDO-CHORRILLOS-0001/availability""}}"
"2026-08-05T19:28:00.553Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.553Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":311,""status"":200,""method"":""GET"",""url"":""https://integration-middleware.us.restaurant-partners.com/v2/chains/LATAMSMARTFRAN0001/remoteVendors/PA-GRIDO-CIUDAD-DEL-ESTE-III-0001/availability""}}"
"2026-08-05T19:28:00.555Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.555Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":313,""status"":200,""method"":""GET"",""url"":""https://integration-middleware.us.restaurant-partners.com/v2/chains/LATAMSMARTFRAN0001/remoteVendors/AR-GRIDO-HELADOS-4430-0001/availability""}}"
"2026-08-05T19:28:00.609Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.609Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":274,""status"":200,""method"":""PUT"",""url"":""https://services.rappi.com.ar/api/v2/restaurants-integrations-public-api/availability/stores/enable""}}"
"2026-08-05T19:28:00.618Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.618Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":283,""status"":200,""method"":""PUT"",""url"":""https://services.rappi.com.ar/api/v2/restaurants-integrations-public-api/availability/stores/enable""}}"
"2026-08-05T19:28:00.628Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.628Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":293,""status"":200,""method"":""PUT"",""url"":""https://api.rappi.pe/api/v2/restaurants-integrations-public-api/availability/stores/enable""}}"
"2026-08-05T19:28:00.721Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.721Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":218,""status"":200,""method"":""PUT"",""url"":""https://integration-middleware.us.restaurant-partners.com/v2/chains/LATAMSMARTFRAN0001/remoteVendors/AR-GRIDO-HELADOS-3311-LIBERTAD-0001/availability""}}"
"2026-08-05T19:28:00.750Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.750Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":195,""status"":200,""method"":""PUT"",""url"":""https://integration-middleware.us.restaurant-partners.com/v2/chains/LATAMSMARTFRAN0001/remoteVendors/AR-GRIDO-HELADOS-4430-0001/availability""}}"
"2026-08-05T19:28:00.931Z","aws-kinesis-raw-logs","{""timestamp"":""2026-08-05T19:28:00.931Z"",""service"":""concentrador-service"",""level"":""INFO"",""category"":""PERF"",""message"":""[PERF/INFO] http_response platform=unknown action=unknown"",""branch_id"":""unknown"",""order_id"":""unknown"",""rest"":{""duration_ms"":378,""status"":200,""method"":""PUT"",""url"":""https://integration-middleware.us.restaurant-partners.com/v2/chains/LATAMSMARTFRAN0001/remoteVendors/PA-GRIDO-CIUDAD-DEL-ESTE-III-0001/availability""}}"
